									DNK       	NOR       	SWE       	FIN       	BALT      	EUR       
RP1       	.         	h106       	5.01880   	19.90827  	21.79794  	11.96909  	3.90093   	69.57235  
RP1       	.         	h107       	4.95751   	19.78588  	21.69634  	11.91708  	3.90247   	69.62919  
RP1       	.         	h108       	4.90575   	19.67128  	21.56053  	11.85407  	3.88246   	68.73894  
RP1       	.         	h109       	4.84487   	19.60250  	21.41897  	11.82415  	3.83700   	67.46931  
RP1       	.         	h110       	4.75513   	19.57612  	21.36032  	11.83978  	3.78327   	66.34421  
RP1       	.         	h111       	4.74500   	19.64269  	21.43560  	11.95733  	3.76753   	65.44787  
RP1       	.         	h112       	4.97766   	19.74940  	21.76065  	12.06045  	3.81447   	65.69135  
RP1       	.         	h113       	5.11022   	19.80595  	21.89646  	12.16774  	3.83486   	67.00032  
RP1       	.         	h114       	4.94090   	19.79869  	21.71147  	12.14153  	3.80525   	67.22358  
RP1       	.         	h115       	4.70283   	19.66942  	21.33832  	11.83333  	3.68454   	65.39540  
RP1       	.         	h116       	4.46723   	19.41397  	20.70569  	11.64761  	3.39553   	62.28740  
RP1       	.         	h117       	4.18938   	19.00066  	19.88079  	11.52653  	3.05897   	59.10344  
RP1       	.         	h118       	3.88849   	18.39445  	19.03751  	11.12739  	2.82352   	55.85832  
RP1       	.         	h119       	3.65758   	17.83042  	18.37675  	10.73606  	2.67842   	52.56771  
RP1       	.         	h120       	3.51199   	17.44151  	18.01467  	10.50287  	2.59850   	50.31194  
RP1       	.         	h121       	3.35081   	16.60899  	17.53539  	10.22012  	2.59914   	48.93287  
RP1       	.         	h122       	3.33134   	16.43658  	17.49092  	10.22288  	2.60170   	48.65694  
RP1       	.         	h123       	3.36394   	16.46692  	17.54305  	10.36693  	2.67057   	49.32401  
RP1       	.         	h124       	3.49660   	16.66010  	17.86128  	10.82986  	2.93656   	51.47543  
RP1       	.         	h125       	3.84713   	17.31327  	18.88750  	11.35539  	3.31955   	56.06716  
RP1       	.         	h126       	4.34330   	18.32789  	20.22996  	11.62189  	3.65031   	61.08799  
RP1       	.         	h127       	4.70757   	19.03798  	21.05642  	11.74924  	3.85352   	64.85541  
RP1       	.         	h128       	4.85256   	19.26747  	21.33378  	11.79051  	3.93684   	66.73243  
RP1       	.         	h129       	4.92648   	19.31238  	21.49927  	11.80751  	3.96114   	68.20755  
RP1       	.         	h130       	4.93812   	19.25598  	21.52140  	11.80405  	3.94225   	69.54666  
RP1       	.         	h131       	4.87746   	19.13365  	21.42051  	11.75249  	3.94295   	69.62081  
RP1       	.         	h132       	4.82479   	19.01822  	21.28378  	11.68934  	3.92345   	68.73808  
RP1       	.         	h133       	4.76453   	18.94905  	21.14178  	11.65955  	3.87802   	67.47008  
RP1       	.         	h134       	4.67522   	18.92266  	21.08370  	11.67698  	3.82479   	66.34319  
RP1       	.         	h135       	4.66457   	18.98986  	21.16290  	11.79539  	3.81045   	65.45220  
RP1       	.         	h136       	4.89626   	19.09870  	21.48878  	11.89950  	3.85823   	65.69960  
RP1       	.         	h137       	5.03332   	19.15584  	21.62816  	12.00586  	3.87846   	67.02952  
RP1       	.         	h138       	4.86528   	19.14662  	21.44128  	11.97975  	3.84756   	67.26340  
RP1       	.         	h139       	4.62573   	19.01527  	21.06595  	11.67342  	3.72667   	65.44255  
RP1       	.         	h140       	4.38884   	18.75834  	20.43307  	11.48265  	3.43896   	62.32525  
RP1       	.         	h141       	4.11121   	18.34520  	19.60893  	11.36569  	3.10252   	59.14580  
RP1       	.         	h142       	3.81028   	17.73927  	18.76453  	10.97013  	2.86586   	55.92705  
